,log_id,instance_id,log_message,error_code,time
57,LOG_282797,INS_824362,instance initiated,200,2021-06-05 06:20:53
58,LOG_444926,INS_725404,user logged in,201,2020-04-22 21:51:15
59,LOG_108333,INS_653504,instance crashed,500,2020-08-17 05:17:02
60,LOG_606882,INS_807275,instance restart,501,2021-01-06 11:14:41
61,LOG_456130,INS_262333,instance restart,501,2021-09-08 07:36:38
62,LOG_570439,INS_992698,user logged in,201,2021-03-21 06:21:43
63,LOG_352217,INS_532595,instance initiated,200,2020-07-25 22:49:51
64,LOG_735531,INS_536686,instance crashed,500,2020-09-28 02:22:39
65,LOG_442587,INS_304748,instance crashed,500,2020-12-21 02:17:18
66,LOG_820771,INS_191894,user logged in,201,2021-08-20 21:29:39
67,LOG_452239,INS_381922,instance initiated,200,2020-10-03 18:19:26
68,LOG_334138,INS_493025,instance initiated,200,2021-11-13 05:00:15
69,LOG_343127,INS_768774,instance shutdown,499,2021-11-16 17:39:13
70,LOG_251210,INS_832580,instance shutdown,499,2021-02-05 05:59:22
71,LOG_200238,INS_569882,instance crashed,500,2020-02-16 16:27:04
72,LOG_360293,INS_959036,instance restart,501,2020-10-10 13:42:43
73,LOG_649953,INS_840695,instance restart,501,2021-02-17 18:02:47
74,LOG_274333,INS_438481,instance crashed,500,2020-08-26 21:09:40
75,LOG_481257,INS_207813,user logged in,201,2021-01-19 09:08:05
76,LOG_298201,INS_410212,instance crashed,500,2021-02-14 16:43:48
77,LOG_586723,INS_139872,instance terminated,999,2020-11-10 09:33:22
78,LOG_164657,INS_740178,instance crashed,500,2021-07-29 11:16:02
79,LOG_349774,INS_876778,user logged in,201,2020-12-08 18:06:36
80,LOG_212923,INS_841460,instance shutdown,499,2020-03-18 11:40:53
81,LOG_992930,INS_524219,instance crashed,500,2021-08-05 11:07:56
82,LOG_414463,INS_479785,instance initiated,200,2021-06-24 15:28:36
83,LOG_847866,INS_730480,instance initiated,200,2021-09-29 19:44:36
84,LOG_522580,INS_256703,user logged in,201,2020-09-10 01:25:34
85,LOG_331536,INS_959036,instance shutdown,499,2020-06-21 05:22:47
86,LOG_869567,INS_744335,instance restart,501,2021-09-30 16:10:58
87,LOG_737988,INS_765939,instance initiated,200,2020-11-01 13:44:21
88,LOG_604932,INS_543678,instance restart,501,2020-03-26 09:00:41
89,LOG_685974,INS_687862,user logged in,201,2020-04-23 22:03:25
90,LOG_901466,INS_638874,instance shutdown,499,2021-10-26 14:40:09
91,LOG_966812,INS_157048,instance restart,501,2020-10-21 16:06:40
92,LOG_930297,INS_782889,instance crashed,500,2021-01-08 16:00:47
93,LOG_832820,INS_374601,instance shutdown,499,2021-11-07 00:04:53
94,LOG_331738,INS_590753,instance restart,501,2021-03-04 13:59:20
95,LOG_189129,INS_805308,instance crashed,500,2020-05-11 09:55:22
96,LOG_324819,INS_535339,instance restart,501,2021-03-23 22:48:49
97,LOG_123676,INS_585729,instance shutdown,499,2020-02-15 09:23:31
98,LOG_803532,INS_425589,instance restart,501,2021-07-07 23:36:29
99,LOG_958558,INS_284134,instance restart,501,2021-10-31 07:01:21
100,LOG_581242,INS_536686,instance terminated,999,2020-07-16 05:23:01
101,LOG_594628,INS_512087,instance shutdown,499,2020-03-20 15:07:31
102,LOG_797023,INS_100879,instance shutdown,499,2020-12-21 15:42:40
103,LOG_134714,INS_732776,user logged in,201,2020-06-02 23:42:56
104,LOG_512118,INS_713934,instance crashed,500,2020-01-02 21:22:46
105,LOG_652556,INS_134282,instance terminated,999,2021-01-16 08:50:33
106,LOG_175631,INS_645791,instance shutdown,499,2021-05-25 20:42:25
107,LOG_738393,INS_625453,instance terminated,999,2020-10-08 07:11:17
108,LOG_927556,INS_261391,instance shutdown,499,2021-09-27 18:55:40
109,LOG_183797,INS_148309,user logged in,201,2021-08-21 12:54:30
110,LOG_520811,INS_929571,instance restart,501,2020-04-02 20:42:17
111,LOG_112809,INS_913229,instance crashed,500,2021-01-26 08:19:31
112,LOG_464779,INS_511052,user logged in,201,2020-08-02 11:17:23
113,LOG_929918,INS_826349,instance terminated,999,2020-07-06 13:03:38
114,LOG_874969,INS_274011,instance shutdown,499,2021-07-06 03:36:55
115,LOG_655869,INS_420312,instance crashed,500,2021-02-10 09:01:01
116,LOG_196481,INS_930709,instance crashed,500,2021-04-24 19:23:37
117,LOG_237161,INS_370730,instance terminated,999,2021-05-15 06:13:04
118,LOG_175722,INS_609950,instance crashed,500,2021-04-04 10:22:49
119,LOG_373037,INS_253101,instance shutdown,499,2021-05-29 02:01:15
120,LOG_499725,INS_451384,instance terminated,999,2021-07-26 14:55:46
121,LOG_587306,INS_657492,instance shutdown,499,2020-09-23 07:20:17
122,LOG_709587,INS_922261,instance shutdown,499,2021-06-21 03:13:58
123,LOG_101940,INS_790002,user logged in,201,2021-07-15 11:24:06
124,LOG_555293,INS_895987,instance initiated,200,2020-11-06 06:47:46
125,LOG_915099,INS_154734,instance crashed,500,2020-05-09 06:01:55
126,LOG_608715,INS_716970,instance shutdown,499,2020-10-12 21:10:29
127,LOG_636325,INS_616113,user logged in,201,2020-02-18 21:55:24
128,LOG_752658,INS_131156,instance initiated,200,2021-04-10 11:05:30
129,LOG_877949,INS_152422,instance terminated,999,2021-10-13 10:44:47
130,LOG_853406,INS_134643,user logged in,201,2020-03-15 23:42:27
131,LOG_795148,INS_566618,instance restart,501,2021-10-23 11:20:06
132,LOG_136604,INS_353058,instance initiated,200,2021-04-15 20:33:14
133,LOG_825733,INS_177025,instance shutdown,499,2021-03-16 14:54:13
134,LOG_722218,INS_597890,instance crashed,500,2021-07-31 22:59:53
135,LOG_643739,INS_274142,instance crashed,500,2020-11-11 05:31:08
136,LOG_819369,INS_936312,user logged in,201,2020-04-03 14:29:29
137,LOG_173635,INS_312480,instance initiated,200,2020-03-09 04:06:27
138,LOG_955082,INS_245211,instance initiated,200,2020-02-19 14:06:39
139,LOG_957139,INS_888475,instance restart,501,2021-04-26 08:30:45
140,LOG_967093,INS_588648,instance restart,501,2020-02-25 02:02:56
141,LOG_350670,INS_657656,user logged in,201,2020-12-17 08:34:46
142,LOG_463770,INS_568343,instance shutdown,499,2021-01-23 00:20:20
143,LOG_149863,INS_374601,instance terminated,999,2021-10-09 12:24:04
144,LOG_651518,INS_490120,instance restart,501,2020-06-30 16:38:57
145,LOG_241512,INS_654595,user logged in,201,2021-02-01 13:53:27
146,LOG_862819,INS_999623,instance initiated,200,2021-08-13 16:46:14
147,LOG_497721,INS_277046,instance initiated,200,2020-07-05 04:14:22
148,LOG_599070,INS_152647,instance crashed,500,2021-06-05 16:43:52
149,LOG_883505,INS_511800,instance initiated,200,2021-07-20 23:33:59
150,LOG_677584,INS_798053,instance shutdown,499,2020-09-23 17:48:11
151,LOG_898677,INS_921990,instance restart,501,2020-10-19 23:08:39
152,LOG_743301,INS_685912,instance restart,501,2021-01-28 11:13:25
153,LOG_110867,INS_497406,instance restart,501,2020-04-17 10:39:04
154,LOG_887858,INS_314150,user logged in,201,2021-06-06 16:43:55
155,LOG_181753,INS_135736,instance restart,501,2021-07-25 17:49:36
156,LOG_987260,INS_346364,user logged in,201,2021-10-16 07:51:41
157,LOG_900318,INS_364083,instance terminated,999,2021-05-01 10:05:24
158,LOG_247171,INS_543678,user logged in,201,2020-10-31 19:07:56
159,LOG_845712,INS_501708,instance terminated,999,2020-11-16 19:55:53
160,LOG_406110,INS_144849,instance crashed,500,2021-09-14 09:33:03
161,LOG_887832,INS_503816,user logged in,201,2021-01-07 05:34:22
162,LOG_143538,INS_548686,user logged in,201,2021-06-26 18:23:54
163,LOG_456845,INS_817718,instance restart,501,2021-05-31 03:16:37
164,LOG_191795,INS_992317,instance terminated,999,2020-07-06 03:27:03
165,LOG_304096,INS_959036,user logged in,201,2021-09-09 18:59:25
166,LOG_490214,INS_247812,instance crashed,500,2021-08-09 00:29:25
167,LOG_648428,INS_619466,user logged in,201,2020-09-17 03:08:48
168,LOG_511942,INS_599948,instance shutdown,499,2021-05-06 12:56:56
169,LOG_794863,INS_110800,instance initiated,200,2020-03-15 08:28:15
170,LOG_557269,INS_252875,instance terminated,999,2021-05-19 17:17:50
171,LOG_454788,INS_335577,instance initiated,200,2020-06-02 10:38:40
172,LOG_610191,INS_336980,instance crashed,500,2020-03-20 01:09:56
173,LOG_154616,INS_365750,instance restart,501,2021-10-02 13:26:24
174,LOG_657230,INS_330702,instance initiated,200,2020-03-23 08:49:52
175,LOG_566436,INS_493207,instance restart,501,2020-01-23 17:03:45
176,LOG_266376,INS_492676,user logged in,201,2021-02-06 17:13:57
177,LOG_157838,INS_516829,user logged in,201,2021-06-09 16:17:07
178,LOG_659857,INS_353283,instance restart,501,2021-09-13 01:52:37
179,LOG_349294,INS_710491,user logged in,201,2021-03-04 01:22:10
180,LOG_194906,INS_645645,instance restart,501,2021-04-03 09:41:42
181,LOG_248884,INS_211299,instance shutdown,499,2020-12-09 09:49:54
182,LOG_210164,INS_395077,instance restart,501,2021-02-19 09:24:51
183,LOG_126134,INS_904960,instance restart,501,2020-02-21 09:12:32
184,LOG_881253,INS_306357,instance crashed,500,2020-02-13 14:06:31
185,LOG_881131,INS_574689,instance crashed,500,2020-08-18 20:37:54
186,LOG_220632,INS_745777,instance restart,501,2020-08-05 09:02:54
187,LOG_303519,INS_585644,instance crashed,500,2020-03-03 14:49:41
188,LOG_637579,INS_385621,instance initiated,200,2021-07-12 05:39:21
189,LOG_428497,INS_618843,user logged in,201,2021-06-23 01:13:52
190,LOG_700400,INS_155711,instance shutdown,499,2020-11-11 11:45:08
191,LOG_870608,INS_506896,user logged in,201,2020-11-08 16:53:54
192,LOG_126589,INS_136940,instance shutdown,499,2021-03-26 20:30:27
193,LOG_959938,INS_767676,instance shutdown,499,2020-03-24 22:21:08
194,LOG_145926,INS_986712,instance restart,501,2021-06-25 01:52:33
195,LOG_512387,INS_147552,user logged in,201,2020-09-27 18:42:16
196,LOG_109604,INS_122726,user logged in,201,2020-09-13 08:18:42
197,LOG_520376,INS_835204,instance crashed,500,2020-04-08 00:35:17
198,LOG_205779,INS_119826,instance crashed,500,2021-05-09 03:54:06
199,LOG_302381,INS_877989,user logged in,201,2021-09-03 04:36:30
200,LOG_455760,INS_826534,instance terminated,999,2020-04-13 06:36:13
201,LOG_947651,INS_387057,instance crashed,500,2021-11-12 09:22:30
202,LOG_697384,INS_520565,instance restart,501,2021-08-21 23:33:00
203,LOG_782560,INS_860576,instance initiated,200,2020-11-08 11:46:02
204,LOG_927378,INS_358873,instance shutdown,499,2020-12-29 02:12:03
205,LOG_592455,INS_713934,instance terminated,999,2020-02-27 09:49:52
206,LOG_969266,INS_253592,instance shutdown,499,2020-06-12 02:18:35
207,LOG_597576,INS_933052,instance terminated,999,2021-05-30 19:46:49
208,LOG_233344,INS_287148,instance shutdown,499,2021-08-09 18:19:04
209,LOG_200361,INS_779218,instance crashed,500,2021-05-14 17:20:25
210,LOG_463209,INS_219354,instance terminated,999,2020-03-11 17:30:45
211,LOG_783823,INS_220167,instance shutdown,499,2021-09-15 12:13:58
212,LOG_374498,INS_478234,user logged in,201,2021-08-15 02:40:51
213,LOG_957320,INS_756799,user logged in,201,2020-02-26 13:55:50
214,LOG_472502,INS_150187,instance terminated,999,2020-06-27 14:44:39
215,LOG_532324,INS_436828,instance crashed,500,2021-11-04 14:56:13
216,LOG_205522,INS_959893,instance restart,501,2021-01-06 15:10:03
217,LOG_418719,INS_531199,instance terminated,999,2021-06-25 13:30:50
218,LOG_552799,INS_469842,instance terminated,999,2021-01-11 20:32:07
219,LOG_848092,INS_364083,instance restart,501,2021-11-15 06:45:07
220,LOG_938349,INS_765939,instance shutdown,499,2020-05-27 17:56:50
221,LOG_623950,INS_969931,instance restart,501,2020-08-27 03:26:44
222,LOG_482623,INS_350100,instance terminated,999,2021-03-11 01:20:47
223,LOG_313510,INS_573546,instance shutdown,499,2021-08-16 16:28:08
224,LOG_970904,INS_769809,instance terminated,999,2020-02-15 12:14:08
225,LOG_224821,INS_451384,user logged in,201,2020-04-27 18:11:54
226,LOG_603152,INS_249960,instance restart,501,2020-08-22 14:38:22
227,LOG_672019,INS_802959,instance crashed,500,2020-06-08 02:37:05
228,LOG_824860,INS_620681,instance crashed,500,2020-11-26 23:18:55
229,LOG_439389,INS_896348,instance terminated,999,2021-04-05 13:38:39
230,LOG_578631,INS_297686,instance crashed,500,2020-04-30 23:48:46
231,LOG_413505,INS_567905,instance restart,501,2020-06-23 19:01:55
232,LOG_365944,INS_543493,instance initiated,200,2020-07-16 12:15:58
233,LOG_620552,INS_374402,instance crashed,500,2021-04-17 05:26:52
234,LOG_575462,INS_270758,instance initiated,200,2020-04-29 00:31:46
235,LOG_873431,INS_595241,instance terminated,999,2021-05-19 18:08:00
236,LOG_627668,INS_548800,instance crashed,500,2020-07-01 16:38:21
237,LOG_745758,INS_191570,user logged in,201,2021-02-20 12:43:11
238,LOG_172654,INS_415909,instance crashed,500,2021-08-16 11:14:51
239,LOG_862488,INS_369795,instance initiated,200,2020-06-22 07:49:22
240,LOG_680979,INS_521889,instance shutdown,499,2021-09-12 08:51:41
241,LOG_169496,INS_459080,instance crashed,500,2021-07-03 21:52:10
242,LOG_641814,INS_521957,user logged in,201,2021-02-24 21:20:59
243,LOG_272422,INS_740178,instance initiated,200,2020-09-28 03:17:02
244,LOG_755771,INS_563639,instance restart,501,2020-02-19 11:41:04
245,LOG_499524,INS_155094,instance shutdown,499,2021-02-06 09:46:37
246,LOG_642673,INS_124105,instance terminated,999,2020-12-08 00:44:08
247,LOG_863721,INS_280502,instance terminated,999,2020-02-10 14:22:34
248,LOG_279420,INS_287681,instance terminated,999,2021-10-02 04:50:19
249,LOG_825154,INS_546960,instance crashed,500,2021-06-21 14:10:20
250,LOG_889134,INS_545791,user logged in,201,2020-11-02 10:14:31
251,LOG_366571,INS_474838,instance crashed,500,2021-05-23 15:45:30
252,LOG_771798,INS_590954,instance initiated,200,2021-06-20 19:34:04
253,LOG_765491,INS_561233,user logged in,201,2020-01-06 10:21:16
254,LOG_271777,INS_374541,instance shutdown,499,2021-06-01 04:24:11
255,LOG_695457,INS_670947,instance terminated,999,2020-04-16 17:41:59
256,LOG_589789,INS_789885,instance crashed,500,2021-05-03 10:25:06
257,LOG_544812,INS_467624,instance shutdown,499,2021-08-21 14:35:29
258,LOG_168467,INS_717683,user logged in,201,2021-03-04 16:56:00
259,LOG_121331,INS_617955,instance terminated,999,2020-11-28 07:39:32
260,LOG_657788,INS_364083,instance crashed,500,2020-02-02 23:27:09
261,LOG_972141,INS_423458,instance restart,501,2021-09-16 09:31:13
262,LOG_589788,INS_660514,instance shutdown,499,2021-04-27 06:24:07
263,LOG_844877,INS_220787,instance initiated,200,2020-12-11 21:41:17
264,LOG_490166,INS_930729,instance restart,501,2021-06-28 10:37:50
265,LOG_531041,INS_122132,instance crashed,500,2020-04-23 16:42:50
266,LOG_271716,INS_113244,instance terminated,999,2020-08-19 14:16:35
267,LOG_676328,INS_328214,instance restart,501,2020-12-18 16:46:35
268,LOG_377773,INS_463617,instance restart,501,2021-02-21 23:28:24
269,LOG_889572,INS_630687,instance initiated,200,2021-06-21 12:20:36
270,LOG_418554,INS_585187,instance terminated,999,2021-04-22 09:50:39
271,LOG_714385,INS_146747,instance restart,501,2020-10-28 10:03:54
272,LOG_634770,INS_565263,instance restart,501,2020-01-22 17:29:26
273,LOG_605773,INS_249568,instance crashed,500,2020-07-20 16:30:12
274,LOG_489002,INS_172828,instance terminated,999,2020-08-14 01:22:41
275,LOG_637252,INS_258640,instance restart,501,2021-06-29 07:41:45
276,LOG_599419,INS_275745,instance crashed,500,2021-11-03 01:38:42
277,LOG_234157,INS_338645,instance initiated,200,2021-04-12 20:23:35
278,LOG_464607,INS_353745,instance initiated,200,2020-02-21 05:59:55
279,LOG_695385,INS_657785,instance crashed,500,2020-01-05 08:10:39
280,LOG_697119,INS_665124,instance initiated,200,2020-11-22 08:04:26
281,LOG_554537,INS_658597,instance terminated,999,2020-11-08 16:48:05
282,LOG_325878,INS_322906,instance restart,501,2021-01-14 20:09:43
283,LOG_903926,INS_138512,user logged in,201,2020-06-11 11:38:31
284,LOG_856399,INS_511052,instance restart,501,2021-07-27 11:47:23
285,LOG_928844,INS_688708,instance terminated,999,2020-07-26 12:32:42
286,LOG_577330,INS_384324,instance initiated,200,2020-09-03 08:06:07
287,LOG_484302,INS_768774,instance restart,501,2021-04-03 06:38:55
288,LOG_556479,INS_388384,instance shutdown,499,2021-01-16 19:41:47
289,LOG_226977,INS_307691,instance shutdown,499,2021-05-21 07:44:41
290,LOG_555368,INS_390814,instance restart,501,2020-01-27 05:58:20
291,LOG_863390,INS_881806,instance initiated,200,2020-03-11 16:23:58
292,LOG_320336,INS_606636,instance crashed,500,2021-03-02 01:54:30
293,LOG_832760,INS_139329,instance terminated,999,2021-02-18 20:11:15
294,LOG_509600,INS_459324,instance terminated,999,2020-01-11 02:19:59
295,LOG_424021,INS_899967,instance initiated,200,2020-03-18 16:07:33
296,LOG_612502,INS_927429,user logged in,201,2020-03-10 20:13:35
297,LOG_689518,INS_167312,user logged in,201,2020-12-26 03:44:40
298,LOG_804931,INS_220167,instance initiated,200,2021-10-22 13:37:18
299,LOG_990585,INS_728733,instance restart,501,2020-09-29 21:42:36
300,LOG_541525,INS_445454,instance crashed,500,2020-07-22 12:52:20
301,LOG_865345,INS_415675,user logged in,201,2020-12-09 09:07:23
302,LOG_162625,INS_148309,instance terminated,999,2021-03-08 20:57:36
303,LOG_528095,INS_940126,instance terminated,999,2021-08-08 19:38:42
304,LOG_156776,INS_487987,instance shutdown,499,2021-06-01 19:58:10
305,LOG_369486,INS_131787,instance terminated,999,2021-03-11 10:01:28
306,LOG_788034,INS_875983,instance restart,501,2020-03-14 22:04:54
307,LOG_243977,INS_928906,instance shutdown,499,2021-08-09 12:04:57
308,LOG_424963,INS_567307,instance initiated,200,2020-06-02 11:01:02
309,LOG_915139,INS_103344,instance restart,501,2021-08-18 09:29:43
310,LOG_438331,INS_587998,instance crashed,500,2020-02-20 14:36:40
311,LOG_715051,INS_679310,instance crashed,500,2021-04-25 02:31:53
312,LOG_166763,INS_713768,instance shutdown,499,2021-06-11 01:13:32
313,LOG_254560,INS_245574,instance shutdown,499,2020-12-17 19:21:05
314,LOG_707825,INS_320177,instance initiated,200,2020-02-22 18:36:24
315,LOG_948618,INS_314727,instance shutdown,499,2020-03-17 15:41:46
316,LOG_200637,INS_463720,instance restart,501,2020-07-07 10:51:12
317,LOG_898991,INS_936612,instance restart,501,2020-11-01 04:22:09
318,LOG_395315,INS_680597,instance restart,501,2021-01-28 20:12:29
319,LOG_619560,INS_384233,instance initiated,200,2020-07-31 14:53:38
320,LOG_998683,INS_970146,user logged in,201,2020-06-02 17:17:47
321,LOG_530142,INS_505962,instance shutdown,499,2021-03-27 20:06:13
322,LOG_336725,INS_534854,instance initiated,200,2020-10-19 14:18:05
323,LOG_405181,INS_488552,instance terminated,999,2021-10-02 08:24:39
324,LOG_613028,INS_250952,instance restart,501,2020-04-04 08:16:42
325,LOG_688881,INS_178938,user logged in,201,2021-10-30 20:32:54
326,LOG_301281,INS_801067,instance shutdown,499,2021-09-17 14:57:37
327,LOG_959550,INS_789060,user logged in,201,2020-09-19 00:49:22
328,LOG_745631,INS_305204,user logged in,201,2020-01-25 06:07:18
329,LOG_256464,INS_416964,instance terminated,999,2021-06-02 08:59:24
330,LOG_294456,INS_721376,instance terminated,999,2020-04-18 05:44:53
331,LOG_712349,INS_919728,instance terminated,999,2021-04-01 14:55:06
332,LOG_164600,INS_594854,instance terminated,999,2021-09-04 15:32:55
333,LOG_311246,INS_495149,instance restart,501,2020-01-07 09:44:52
334,LOG_662151,INS_772072,instance crashed,500,2021-11-05 20:50:49
335,LOG_393414,INS_819523,instance initiated,200,2021-10-11 12:50:16
336,LOG_646518,INS_650372,user logged in,201,2021-06-25 08:31:38
337,LOG_436876,INS_192080,instance restart,501,2020-12-24 02:13:27
338,LOG_108539,INS_180626,instance crashed,500,2020-10-18 01:29:12
339,LOG_533704,INS_546960,instance shutdown,499,2021-02-18 00:58:22
340,LOG_829816,INS_139657,instance terminated,999,2020-05-27 12:39:03
341,LOG_930874,INS_196010,instance terminated,999,2020-06-18 16:30:53
342,LOG_188872,INS_728329,instance restart,501,2020-12-03 09:56:42
343,LOG_972656,INS_657507,instance initiated,200,2020-09-03 01:38:16
344,LOG_739120,INS_428284,instance restart,501,2020-06-08 11:31:58
345,LOG_834602,INS_580956,instance crashed,500,2020-11-27 22:51:25
346,LOG_771925,INS_309167,instance terminated,999,2020-05-11 11:50:26
347,LOG_672021,INS_718041,instance terminated,999,2020-01-09 13:21:11
348,LOG_600603,INS_973373,instance shutdown,499,2021-02-01 17:33:20
349,LOG_593446,INS_402333,user logged in,201,2021-03-10 04:42:11
350,LOG_645082,INS_256670,instance initiated,200,2020-02-26 13:26:05
351,LOG_145822,INS_558559,instance shutdown,499,2020-01-28 14:49:29
352,LOG_157987,INS_970424,instance crashed,500,2020-08-12 18:42:04
353,LOG_943400,INS_339683,instance crashed,500,2020-06-15 06:14:09
354,LOG_112523,INS_363898,user logged in,201,2020-09-19 15:12:19
355,LOG_184090,INS_932862,instance terminated,999,2021-04-01 06:43:49
356,LOG_980290,INS_711736,instance terminated,999,2020-04-11 14:41:11
357,LOG_118548,INS_335577,instance initiated,200,2020-01-08 00:13:13
358,LOG_619999,INS_338424,instance terminated,999,2020-03-15 13:35:01
359,LOG_136474,INS_796794,instance shutdown,499,2020-12-05 14:17:27
360,LOG_258177,INS_995273,instance restart,501,2021-07-13 00:50:44
361,LOG_715283,INS_195427,user logged in,201,2021-01-22 20:36:01
362,LOG_184350,INS_957737,instance crashed,500,2021-04-13 15:31:46
363,LOG_903996,INS_203223,user logged in,201,2021-09-20 01:16:52
364,LOG_637424,INS_503033,instance crashed,500,2020-09-19 07:37:52
365,LOG_761636,INS_950304,instance initiated,200,2020-07-18 10:26:50
366,LOG_182274,INS_259330,instance shutdown,499,2021-11-13 20:00:34
367,LOG_267015,INS_501350,instance shutdown,499,2021-03-28 17:38:34
368,LOG_286636,INS_211299,user logged in,201,2020-01-23 21:57:59
369,LOG_226447,INS_600906,instance shutdown,499,2020-12-03 05:51:43
370,LOG_443920,INS_288139,instance restart,501,2021-11-14 17:03:20
371,LOG_212543,INS_652723,user logged in,201,2021-03-29 20:22:52
372,LOG_242814,INS_187424,instance initiated,200,2020-11-15 16:19:50
373,LOG_236108,INS_466106,instance terminated,999,2021-04-07 16:24:54
374,LOG_114610,INS_339079,instance crashed,500,2020-10-30 09:22:36
375,LOG_815476,INS_378892,instance crashed,500,2021-09-23 12:45:38
376,LOG_227920,INS_888029,instance shutdown,499,2020-11-05 13:14:19
377,LOG_113622,INS_224813,instance crashed,500,2021-10-14 05:25:29
378,LOG_653863,INS_763172,instance crashed,500,2020-07-14 12:01:35
379,LOG_845713,INS_372794,instance crashed,500,2020-09-15 22:17:24
380,LOG_557821,INS_300717,instance shutdown,499,2021-02-03 17:23:45
381,LOG_706162,INS_148192,instance crashed,500,2020-04-06 07:13:56
382,LOG_237930,INS_326992,instance initiated,200,2021-02-27 12:12:09
383,LOG_659670,INS_149156,instance initiated,200,2021-11-10 14:48:50
384,LOG_829188,INS_437223,instance initiated,200,2021-06-16 11:06:14
385,LOG_948655,INS_715610,instance shutdown,499,2020-05-01 05:31:31
386,LOG_875725,INS_997748,instance restart,501,2021-03-24 21:41:57
387,LOG_481105,INS_358109,instance initiated,200,2020-10-20 12:34:31
388,LOG_920366,INS_729730,instance crashed,500,2021-01-13 17:33:10
