,instance_id,zone,allocated,computeID,storageID,inst_type
45,INS_216074,Africa,0,COM_609357,,COM
46,INS_311782,Antarctica,0,COM_245180,,COM
47,INS_256703,North America,0,COM_145908,,COM
48,INS_418968,North America,0,COM_182425,,COM
49,INS_771989,South America,0,,STO_706754,STO
50,INS_379624,Australia,0,,STO_732664,STO
51,INS_851537,Antarctica,0,,STO_946790,STO
52,INS_883131,Europe,0,,STO_631748,STO
53,INS_664913,North America,0,COM_413738,,COM
54,INS_440703,North America,0,,STO_381875,STO
55,INS_989478,South America,0,,STO_838001,STO
56,INS_544009,Antarctica,0,COM_498819,,COM
57,INS_713768,Antarctica,0,COM_606198,,COM
58,INS_591130,Asia,0,,STO_946790,STO
59,INS_531166,Antarctica,0,COM_667073,,COM
60,INS_245053,Africa,0,,STO_600517,STO
61,INS_548686,Australia,1,,STO_399975,STO
62,INS_617316,Africa,0,,STO_600517,STO
63,INS_902240,Europe,1,COM_990286,,COM
64,INS_408324,Antarctica,0,COM_423610,,COM
65,INS_384228,South America,0,COM_560406,,COM
66,INS_867341,South America,0,COM_806644,,COM
67,INS_654139,Africa,0,COM_667073,,COM
68,INS_582427,Asia,0,COM_390445,,COM
69,INS_806639,Asia,0,COM_560969,,COM
70,INS_901365,Asia,0,COM_245180,,COM
71,INS_551335,Antarctica,0,COM_560969,,COM
72,INS_835204,Australia,0,,STO_488286,STO
73,INS_228760,Australia,0,,STO_382445,STO
74,INS_873807,Antarctica,0,,STO_814058,STO
75,INS_486288,Australia,1,COM_265379,,COM
76,INS_430507,Australia,0,COM_162459,,COM
77,INS_782889,Europe,0,,STO_799690,STO
78,INS_322027,Antarctica,0,,STO_631748,STO
79,INS_592018,South America,0,COM_182425,,COM
80,INS_302664,Asia,1,COM_476584,,COM
81,INS_226507,Europe,0,,STO_838001,STO
82,INS_179956,South America,0,COM_162427,,COM
83,INS_372794,Asia,0,,STO_748408,STO
84,INS_889801,Africa,1,COM_995209,,COM
85,INS_915087,Asia,1,COM_245180,,COM
86,INS_400313,Antarctica,0,COM_145908,,COM
87,INS_736457,Europe,0,COM_423610,,COM
88,INS_962195,Europe,1,,STO_914572,STO
89,INS_320177,Africa,0,,STO_488286,STO
90,INS_933052,South America,0,COM_484003,,COM
91,INS_742358,North America,0,COM_662022,,COM
92,INS_134186,Australia,0,COM_308698,,COM
93,INS_807801,South America,0,COM_405168,,COM
94,INS_451498,Africa,0,,STO_382445,STO
95,INS_331333,Australia,1,,STO_748408,STO
96,INS_978047,Australia,0,,STO_358360,STO
97,INS_551333,Asia,0,COM_560969,,COM
98,INS_641610,South America,1,COM_162459,,COM
99,INS_297514,South America,0,COM_537120,,COM
100,INS_796794,Asia,1,,STO_946790,STO
101,INS_245211,Australia,0,COM_612696,,COM
102,INS_813609,Asia,0,,STO_631748,STO
103,INS_166646,Europe,0,COM_606198,,COM
104,INS_496314,South America,0,,STO_600517,STO
105,INS_444701,Asia,1,COM_606198,,COM
106,INS_156052,North America,0,,STO_600517,STO
107,INS_194711,Asia,0,,STO_381875,STO
108,INS_250952,Europe,1,,STO_488286,STO
109,INS_480808,Asia,0,COM_542682,,COM
110,INS_331534,Asia,0,,STO_900589,STO
111,INS_946790,Europe,1,,STO_748408,STO
112,INS_404622,Australia,0,,STO_914572,STO
113,INS_536027,Europe,0,,STO_600517,STO
114,INS_847633,South America,0,COM_902528,,COM
115,INS_764925,Africa,0,,STO_838001,STO
116,INS_528819,Africa,0,COM_560406,,COM
117,INS_143369,South America,1,COM_573859,,COM
118,INS_644739,Africa,1,,STO_946790,STO
119,INS_761487,Europe,0,,STO_399975,STO
120,INS_504603,Australia,1,COM_542682,,COM
121,INS_269881,Africa,0,,STO_374230,STO
122,INS_922906,North America,0,COM_902528,,COM
123,INS_547494,Australia,0,,STO_706754,STO
124,INS_900373,Europe,0,,STO_382445,STO
125,INS_511294,North America,0,,STO_374230,STO
126,INS_992950,North America,0,,STO_748408,STO
127,INS_101637,South America,0,,STO_706754,STO
128,INS_239483,Australia,0,,STO_914572,STO
129,INS_359420,Asia,0,COM_612128,,COM
130,INS_847128,South America,0,,STO_706754,STO
131,INS_681191,Africa,0,,STO_381875,STO
132,INS_396796,Asia,0,,STO_799690,STO
133,INS_291494,South America,1,COM_612128,,COM
134,INS_907618,Australia,1,,STO_706754,STO
135,INS_327068,Asia,0,COM_990286,,COM
136,INS_810559,Antarctica,1,COM_573859,,COM
137,INS_165922,Asia,0,COM_537120,,COM
138,INS_104377,South America,0,COM_609357,,COM
139,INS_440191,Australia,0,COM_476584,,COM
140,INS_603099,Asia,0,COM_516803,,COM
141,INS_885262,South America,1,COM_498819,,COM
142,INS_472305,North America,0,COM_405168,,COM
143,INS_451540,Australia,0,COM_995209,,COM
144,INS_819523,South America,1,COM_265379,,COM
145,INS_992470,Africa,0,COM_524252,,COM
146,INS_150049,South America,0,COM_612128,,COM
147,INS_943886,North America,1,,STO_706754,STO
148,INS_648648,Australia,0,,STO_706754,STO
149,INS_550003,Europe,0,COM_507722,,COM
150,INS_133447,Asia,0,COM_897109,,COM
151,INS_452435,North America,0,,STO_600517,STO
152,INS_480190,North America,1,COM_650748,,COM
153,INS_540996,North America,0,COM_560406,,COM
154,INS_134643,South America,0,,STO_153142,STO
155,INS_969931,North America,1,,STO_748408,STO
156,INS_289237,Australia,0,,STO_631748,STO
157,INS_718492,Africa,0,COM_609357,,COM
158,INS_790786,South America,0,COM_459337,,COM
159,INS_771333,North America,1,,STO_374230,STO
160,INS_598871,Australia,0,,STO_935715,STO
161,INS_742842,Asia,0,COM_262087,,COM
162,INS_562005,South America,1,COM_612128,,COM
163,INS_524817,Antarctica,0,,STO_631748,STO
164,INS_972713,Australia,1,COM_182425,,COM
165,INS_109570,South America,0,COM_484003,,COM
166,INS_680597,South America,1,COM_560406,,COM
167,INS_697572,Australia,0,,STO_358360,STO
168,INS_395878,South America,0,COM_662022,,COM
169,INS_398918,Antarctica,0,,STO_914572,STO
170,INS_158164,Australia,1,COM_182425,,COM
171,INS_151126,South America,0,COM_736102,,COM
172,INS_668451,Africa,1,,STO_799690,STO
173,INS_716222,Australia,0,,STO_814058,STO
174,INS_287276,Europe,0,,STO_381875,STO
175,INS_716937,Australia,0,,STO_381875,STO
176,INS_199071,Africa,0,,STO_600517,STO
177,INS_335797,Asia,0,,STO_900589,STO
178,INS_645791,Europe,0,COM_476584,,COM
179,INS_480801,Africa,0,,STO_488286,STO
180,INS_860576,South America,0,,STO_153142,STO
181,INS_916910,Australia,0,COM_897109,,COM
182,INS_378892,Asia,1,,STO_358360,STO
183,INS_249782,South America,1,COM_537120,,COM
184,INS_541151,Antarctica,0,COM_902528,,COM
185,INS_896405,South America,0,,STO_374230,STO
186,INS_723114,Antarctica,0,,STO_838001,STO
187,INS_734586,Australia,0,,STO_600517,STO
188,INS_412581,Africa,0,,STO_799690,STO
189,INS_598400,South America,0,COM_910962,,COM
190,INS_302349,Asia,0,,STO_600517,STO
191,INS_656000,Africa,0,,STO_748408,STO
192,INS_822943,South America,0,COM_736102,,COM
193,INS_440062,North America,0,COM_158114,,COM
194,INS_669767,Europe,0,,STO_631748,STO
195,INS_802823,Antarctica,1,COM_560969,,COM
196,INS_332625,North America,0,COM_736102,,COM
197,INS_115334,South America,1,,STO_600517,STO
198,INS_338424,Africa,0,COM_612128,,COM
199,INS_174100,Europe,1,,STO_900589,STO
200,INS_377990,South America,0,COM_542682,,COM
201,INS_181348,Antarctica,0,COM_928176,,COM
202,INS_973373,South America,0,,STO_382445,STO
203,INS_251789,Europe,0,COM_423610,,COM
204,INS_744441,Australia,0,COM_265379,,COM
205,INS_404186,Antarctica,0,COM_131278,,COM
206,INS_127568,Africa,0,,STO_221403,STO
207,INS_585255,Africa,0,,STO_946790,STO
208,INS_822600,Africa,0,COM_158114,,COM
209,INS_677384,South America,0,,STO_374230,STO
210,INS_498472,Antarctica,0,,STO_706754,STO
211,INS_143956,North America,0,COM_995209,,COM
212,INS_354024,Europe,0,,STO_153142,STO
213,INS_858968,Antarctica,0,COM_657871,,COM
214,INS_994095,Antarctica,0,,STO_748408,STO
215,INS_878725,North America,0,,STO_914572,STO
216,INS_418132,Asia,0,COM_612128,,COM
217,INS_865399,Africa,0,COM_990286,,COM
218,INS_536340,Europe,0,COM_612696,,COM
219,INS_709368,Europe,0,,STO_358360,STO
220,INS_712213,Antarctica,0,,STO_946790,STO
221,INS_977355,Asia,0,,STO_799690,STO
222,INS_435273,Antarctica,0,COM_897109,,COM
223,INS_945730,Africa,0,COM_560969,,COM
224,INS_540618,Asia,0,,STO_221403,STO
225,INS_145838,Africa,0,COM_902528,,COM
226,INS_423458,Australia,0,COM_612696,,COM
227,INS_813271,Africa,0,,STO_946790,STO
228,INS_168379,Europe,0,COM_162427,,COM
229,INS_648728,Australia,0,,STO_838001,STO
230,INS_330702,South America,0,COM_984001,,COM
231,INS_304748,Africa,0,,STO_488286,STO
232,INS_407823,Europe,0,COM_516803,,COM
233,INS_676599,Africa,0,,STO_914572,STO
234,INS_263875,Europe,0,,STO_153142,STO
235,INS_131156,South America,0,,STO_814058,STO
236,INS_139208,South America,0,COM_182425,,COM
237,INS_198028,Antarctica,0,COM_928176,,COM
238,INS_243070,Asia,1,COM_162427,,COM
239,INS_528148,Europe,0,COM_612696,,COM
240,INS_759865,North America,0,,STO_399975,STO
241,INS_936312,Antarctica,0,COM_162427,,COM
242,INS_803620,Africa,0,COM_573859,,COM
243,INS_521889,Antarctica,0,,STO_799690,STO
244,INS_197402,Australia,0,COM_560969,,COM
245,INS_548295,Europe,0,COM_516803,,COM
246,INS_957943,North America,0,,STO_382445,STO
247,INS_788117,Europe,0,COM_667073,,COM
248,INS_428239,Asia,0,COM_498819,,COM
249,INS_522123,Antarctica,0,COM_612128,,COM
250,INS_826178,Europe,0,,STO_358360,STO
251,INS_165070,Africa,1,,STO_732664,STO
252,INS_706778,South America,0,,STO_706754,STO
253,INS_103344,Europe,0,COM_928176,,COM
254,INS_561686,South America,1,COM_542682,,COM
255,INS_221913,Europe,1,COM_223785,,COM
256,INS_225961,Asia,0,COM_806644,,COM
257,INS_473895,Europe,1,,STO_374230,STO
258,INS_864661,Australia,0,COM_104481,,COM
259,INS_134552,South America,0,COM_498819,,COM
260,INS_264956,North America,0,COM_573859,,COM
261,INS_216984,Europe,0,COM_928176,,COM
262,INS_921990,Asia,0,COM_573859,,COM
263,INS_640712,Europe,0,,STO_600517,STO
264,INS_336804,Australia,1,,STO_706754,STO
265,INS_163655,North America,0,COM_524252,,COM
266,INS_267896,Antarctica,0,,STO_946790,STO
267,INS_351551,North America,1,COM_542682,,COM
268,INS_740225,Antarctica,0,COM_223785,,COM
269,INS_619250,Europe,0,COM_910962,,COM
270,INS_934257,Africa,0,COM_104481,,COM
271,INS_325775,Asia,1,,STO_900589,STO
272,INS_645100,Asia,0,,STO_748408,STO
273,INS_989197,North America,0,,STO_381875,STO
274,INS_212721,Europe,0,,STO_374230,STO
275,INS_841656,Asia,0,,STO_748408,STO
276,INS_905645,Europe,1,COM_984001,,COM
277,INS_224108,Australia,1,COM_442047,,COM
278,INS_251224,Europe,0,,STO_382445,STO
279,INS_116240,North America,1,COM_524252,,COM
280,INS_100535,Asia,0,COM_560969,,COM
281,INS_915872,Africa,0,COM_256990,,COM
282,INS_497089,Antarctica,0,,STO_382445,STO
283,INS_125970,Australia,0,COM_308698,,COM
284,INS_992317,Australia,0,COM_928176,,COM
285,INS_552941,Africa,0,COM_262087,,COM
286,INS_778921,Antarctica,0,,STO_814058,STO
287,INS_777587,North America,0,COM_612128,,COM
288,INS_374402,Asia,0,,STO_914572,STO
289,INS_746206,North America,0,,STO_381875,STO
290,INS_201110,Europe,1,COM_650748,,COM
291,INS_214948,South America,0,COM_256990,,COM
292,INS_832285,Australia,0,,STO_732664,STO
293,INS_690143,Australia,0,,STO_381875,STO
294,INS_605507,Europe,0,,STO_946790,STO
295,INS_181458,Africa,0,COM_560406,,COM
296,INS_312926,North America,0,,STO_600517,STO
297,INS_266047,Africa,0,,STO_382445,STO
298,INS_524219,Australia,0,,STO_838001,STO
299,INS_202999,Antarctica,0,COM_984001,,COM
300,INS_463720,Africa,0,COM_245180,,COM
301,INS_325964,Europe,0,COM_897109,,COM
302,INS_330248,Australia,1,COM_537120,,COM
303,INS_868512,Australia,1,,STO_631748,STO
304,INS_617517,Australia,0,,STO_382445,STO
305,INS_232287,Asia,1,,STO_732664,STO
306,INS_257241,Antarctica,0,,STO_900589,STO
307,INS_493025,Australia,1,COM_484003,,COM
308,INS_852681,Africa,0,,STO_382445,STO
309,INS_904960,Antarctica,0,COM_413738,,COM
310,INS_865620,Europe,0,,STO_706754,STO
311,INS_962154,Africa,0,,STO_382445,STO
312,INS_100039,North America,1,COM_524252,,COM
313,INS_168306,Africa,0,,STO_732664,STO
314,INS_289457,South America,0,,STO_374230,STO
315,INS_583185,Asia,1,,STO_358360,STO
316,INS_490120,South America,0,COM_542682,,COM
317,INS_212581,Australia,0,COM_573859,,COM
318,INS_520366,Australia,0,,STO_631748,STO
319,INS_838926,North America,0,COM_612696,,COM
320,INS_521014,Australia,0,COM_902528,,COM
321,INS_820200,Europe,1,COM_928176,,COM
322,INS_813888,Australia,0,,STO_381875,STO
323,INS_527380,Asia,0,COM_560969,,COM
324,INS_234255,Asia,1,,STO_382445,STO
325,INS_509966,Europe,0,,STO_748408,STO
326,INS_812020,South America,0,COM_180225,,COM
327,INS_967388,Australia,0,COM_158114,,COM
328,INS_559109,Europe,0,,STO_838001,STO
329,INS_575296,Africa,0,,STO_946790,STO
330,INS_879062,Africa,0,COM_459337,,COM
331,INS_729730,South America,0,,STO_732664,STO
332,INS_408082,Africa,1,COM_657871,,COM
333,INS_684104,North America,0,,STO_935715,STO
334,INS_411245,Europe,1,,STO_900589,STO
335,INS_267247,Australia,0,,STO_631748,STO
336,INS_211299,Antarctica,0,COM_507722,,COM
337,INS_111975,Europe,0,COM_442047,,COM
338,INS_694019,Africa,0,COM_902528,,COM
339,INS_129386,Australia,0,,STO_946790,STO
340,INS_220787,Antarctica,0,COM_736102,,COM
341,INS_232325,Europe,0,COM_736102,,COM
342,INS_151587,Africa,0,COM_995209,,COM
343,INS_648097,Europe,0,,STO_382445,STO
344,INS_929571,Europe,0,COM_537120,,COM
345,INS_131501,Asia,0,COM_573859,,COM
346,INS_107271,Antarctica,1,,STO_631748,STO
347,INS_738053,North America,0,COM_995209,,COM
348,INS_925108,Australia,0,COM_265379,,COM
349,INS_283849,North America,0,,STO_914572,STO
350,INS_104965,North America,0,COM_650748,,COM
351,INS_249592,Africa,1,COM_609357,,COM
352,INS_890832,Africa,0,,STO_221403,STO
353,INS_109738,South America,1,,STO_706754,STO
354,INS_395317,Australia,0,,STO_935715,STO
355,INS_513975,Australia,0,,STO_748408,STO
356,INS_351447,North America,0,,STO_900589,STO
357,INS_701246,North America,0,,STO_381875,STO
358,INS_158018,Africa,1,,STO_799690,STO
359,INS_628452,Antarctica,0,COM_245180,,COM
360,INS_308188,Africa,0,,STO_732664,STO
361,INS_484783,Australia,1,,STO_814058,STO
362,INS_660514,Africa,0,COM_265379,,COM
363,INS_287681,Australia,1,COM_162459,,COM
364,INS_587998,Australia,0,COM_995209,,COM
365,INS_606522,Antarctica,1,,STO_946790,STO
366,INS_809401,Europe,1,,STO_935715,STO
367,INS_335782,Africa,0,,STO_838001,STO
368,INS_656644,Africa,0,,STO_381875,STO
369,INS_218073,Europe,0,,STO_381875,STO
370,INS_821605,Antarctica,0,,STO_381875,STO
371,INS_309167,Australia,0,COM_939864,,COM
372,INS_819612,Asia,0,,STO_381875,STO
373,INS_570669,Europe,0,,STO_838001,STO
374,INS_790209,Antarctica,1,,STO_221403,STO
375,INS_850093,Antarctica,1,COM_245180,,COM
376,INS_552417,North America,0,COM_667073,,COM
377,INS_185195,Europe,0,COM_498819,,COM
378,INS_206789,Antarctica,0,,STO_381875,STO
379,INS_409281,Antarctica,0,COM_182425,,COM
380,INS_471024,Antarctica,0,,STO_631748,STO
381,INS_853800,North America,0,,STO_600517,STO
382,INS_679090,Antarctica,0,,STO_732664,STO
383,INS_616519,Europe,0,COM_524252,,COM
384,INS_759058,Australia,0,COM_612128,,COM
385,INS_863313,Antarctica,0,,STO_399975,STO
386,INS_396826,North America,0,COM_158114,,COM
387,INS_937042,Europe,0,,STO_488286,STO
388,INS_765737,Asia,0,COM_806644,,COM
389,INS_341071,Antarctica,0,,STO_748408,STO
390,INS_237255,Australia,0,COM_537120,,COM
391,INS_723588,Europe,0,COM_169616,,COM
392,INS_655674,Antarctica,0,COM_180225,,COM
393,INS_378770,Europe,0,COM_405168,,COM
394,INS_165898,South America,0,,STO_814058,STO
395,INS_831216,North America,0,COM_995209,,COM
396,INS_304544,South America,0,,STO_221403,STO
397,INS_874206,Australia,1,,STO_900589,STO
398,INS_391958,Africa,0,COM_158114,,COM
399,INS_287148,Antarctica,0,,STO_706754,STO
400,INS_652342,Europe,0,,STO_732664,STO
401,INS_639177,Africa,0,COM_145908,,COM
402,INS_688124,Europe,0,,STO_153142,STO
403,INS_293482,Africa,0,,STO_814058,STO
404,INS_806562,South America,0,,STO_900589,STO
405,INS_329980,South America,0,COM_516803,,COM
406,INS_867220,Africa,0,,STO_706754,STO
407,INS_304710,Asia,0,,STO_358360,STO
408,INS_796958,Asia,0,COM_995209,,COM
409,INS_706556,Asia,0,COM_516803,,COM
410,INS_979084,South America,0,COM_104481,,COM
411,INS_805308,Europe,1,,STO_838001,STO
412,INS_363898,South America,0,COM_442047,,COM
413,INS_480949,Africa,0,,STO_381875,STO
414,INS_365357,Asia,0,,STO_153142,STO
415,INS_840379,South America,1,,STO_748408,STO
416,INS_684755,Asia,0,,STO_706754,STO
417,INS_199936,South America,0,COM_131278,,COM
418,INS_544621,Europe,0,COM_516803,,COM
419,INS_396828,North America,0,,STO_488286,STO
420,INS_172494,Australia,0,COM_245180,,COM
421,INS_857507,South America,0,,STO_732664,STO
422,INS_240994,Europe,0,COM_910962,,COM
423,INS_932862,Asia,0,,STO_838001,STO
424,INS_418300,Antarctica,0,,STO_153142,STO
425,INS_604666,Antarctica,0,,STO_488286,STO
426,INS_717554,Australia,1,COM_516803,,COM
427,INS_981364,Europe,0,,STO_914572,STO
428,INS_246046,Europe,1,,STO_358360,STO
429,INS_595552,Asia,0,COM_413738,,COM
430,INS_118815,South America,0,,STO_358360,STO
431,INS_263439,South America,0,,STO_838001,STO
432,INS_894739,Asia,0,COM_516803,,COM
433,INS_315687,South America,0,COM_245180,,COM
434,INS_944295,North America,0,,STO_946790,STO
435,INS_464541,Africa,0,COM_476584,,COM
436,INS_997418,North America,0,,STO_914572,STO
437,INS_526304,Antarctica,0,,STO_374230,STO
438,INS_831393,Africa,0,,STO_382445,STO
439,INS_519468,Europe,0,,STO_946790,STO
440,INS_335466,Europe,1,,STO_221403,STO
441,INS_237535,North America,0,,STO_600517,STO
442,INS_507853,North America,0,,STO_814058,STO
443,INS_251625,Asia,0,COM_650748,,COM
444,INS_946809,Africa,0,COM_104481,,COM
445,INS_683897,South America,1,COM_484003,,COM
446,INS_812349,North America,0,COM_806644,,COM
447,INS_850422,Antarctica,0,COM_442047,,COM
448,INS_212365,Asia,0,COM_413738,,COM
449,INS_355120,Antarctica,0,,STO_381875,STO
450,INS_889360,Africa,0,COM_928176,,COM
451,INS_946237,Europe,0,COM_423610,,COM
452,INS_800806,Africa,0,COM_442047,,COM
453,INS_868858,Europe,0,,STO_399975,STO
454,INS_643388,Africa,0,,STO_706754,STO
455,INS_298449,Africa,0,,STO_748408,STO
456,INS_149156,North America,0,COM_162459,,COM
457,INS_254949,Antarctica,1,COM_262087,,COM
458,INS_572216,Asia,0,COM_612128,,COM
459,INS_886128,Europe,0,COM_657871,,COM
460,INS_118762,Antarctica,0,,STO_946790,STO
461,INS_293272,Europe,0,,STO_600517,STO
462,INS_938191,Europe,0,COM_612696,,COM
463,INS_409314,Africa,0,COM_507722,,COM
464,INS_203223,North America,0,,STO_399975,STO
465,INS_215551,Australia,1,COM_405168,,COM
466,INS_359660,North America,0,COM_158114,,COM
467,INS_461206,Australia,1,COM_736102,,COM
468,INS_615669,Australia,0,,STO_900589,STO
469,INS_274173,Asia,0,,STO_838001,STO
470,INS_138373,Asia,0,,STO_374230,STO
471,INS_109651,North America,1,,STO_799690,STO
472,INS_355020,South America,1,,STO_814058,STO
473,INS_361944,Asia,0,,STO_488286,STO
474,INS_554827,Antarctica,0,COM_939864,,COM
475,INS_651756,Africa,0,COM_612128,,COM
476,INS_152422,South America,1,,STO_914572,STO
477,INS_964897,Antarctica,1,,STO_221403,STO
478,INS_999623,Australia,0,,STO_814058,STO
479,INS_450594,Antarctica,0,,STO_946790,STO
480,INS_512114,Australia,0,,STO_381875,STO
481,INS_115763,Asia,0,COM_573859,,COM
482,INS_478278,Antarctica,0,COM_667073,,COM
483,INS_625856,Australia,1,,STO_381875,STO
484,INS_997125,Antarctica,0,,STO_914572,STO
485,INS_359092,North America,1,,STO_600517,STO
486,INS_628583,North America,0,COM_180225,,COM
487,INS_441568,South America,0,,STO_799690,STO
488,INS_310840,Antarctica,0,,STO_748408,STO
489,INS_536686,Africa,0,COM_245180,,COM
490,INS_660637,Europe,0,COM_442047,,COM
491,INS_452942,Asia,0,,STO_946790,STO
492,INS_860848,North America,0,,STO_488286,STO
493,INS_339079,Antarctica,0,COM_498819,,COM
494,INS_823627,Africa,0,,STO_374230,STO
495,INS_407705,Antarctica,0,COM_573859,,COM
496,INS_112283,Europe,1,,STO_946790,STO
497,INS_507975,Australia,0,,STO_381875,STO
498,INS_172484,North America,0,,STO_488286,STO
499,INS_405650,South America,0,COM_180225,,COM
500,INS_150187,Africa,1,,STO_358360,STO
501,INS_256080,Asia,1,,STO_706754,STO
502,INS_220400,Africa,0,COM_145908,,COM
503,INS_927162,Australia,0,,STO_799690,STO
504,INS_521376,Antarctica,0,COM_612128,,COM
505,INS_350100,North America,0,,STO_900589,STO
506,INS_627311,Europe,0,,STO_900589,STO
507,INS_941596,South America,1,COM_507722,,COM
508,INS_666037,South America,0,,STO_814058,STO
509,INS_892697,Asia,0,,STO_153142,STO
510,INS_501543,Asia,1,,STO_374230,STO
511,INS_113299,Australia,0,,STO_946790,STO
512,INS_756093,Africa,0,,STO_706754,STO
513,INS_593115,North America,1,COM_145908,,COM
514,INS_629177,Antarctica,0,,STO_488286,STO
515,INS_538548,Asia,0,COM_516803,,COM
516,INS_545812,Australia,0,COM_265379,,COM
517,INS_527517,Antarctica,0,COM_131278,,COM
518,INS_262491,Asia,0,,STO_838001,STO
519,INS_452618,Europe,0,COM_995209,,COM
520,INS_506896,South America,0,COM_939864,,COM
521,INS_725981,Antarctica,0,,STO_153142,STO
522,INS_253592,South America,0,,STO_748408,STO
523,INS_615106,Europe,0,,STO_748408,STO
524,INS_561233,Europe,0,COM_413738,,COM
525,INS_374541,Europe,1,,STO_814058,STO
526,INS_896789,Africa,0,,STO_706754,STO
527,INS_109561,Australia,0,COM_984001,,COM
528,INS_728329,Europe,0,,STO_631748,STO
529,INS_981189,Australia,0,COM_542682,,COM
530,INS_135736,Antarctica,0,,STO_358360,STO
531,INS_113648,Antarctica,0,COM_169616,,COM
532,INS_927607,Asia,0,,STO_900589,STO
533,INS_481664,South America,0,COM_169616,,COM
534,INS_194416,South America,0,COM_806644,,COM
535,INS_402855,Africa,0,,STO_946790,STO
536,INS_218814,North America,0,COM_612128,,COM
537,INS_299339,Asia,1,COM_498819,,COM
538,INS_548198,Antarctica,0,COM_476584,,COM
539,INS_326882,Antarctica,1,COM_145908,,COM
540,INS_274011,Europe,0,COM_612128,,COM
541,INS_794587,Australia,0,,STO_814058,STO
542,INS_280321,Europe,0,COM_459337,,COM
543,INS_111569,North America,1,,STO_381875,STO
544,INS_560176,North America,0,,STO_488286,STO
545,INS_580956,Antarctica,1,,STO_914572,STO
546,INS_461346,North America,0,,STO_946790,STO
547,INS_454410,Australia,0,,STO_358360,STO
548,INS_301451,South America,0,,STO_600517,STO
549,INS_782014,Antarctica,0,COM_223785,,COM
550,INS_286475,Australia,0,COM_245180,,COM
551,INS_661520,Antarctica,0,,STO_935715,STO
552,INS_994291,North America,0,COM_413738,,COM
553,INS_451384,South America,1,COM_910962,,COM
554,INS_492676,Australia,0,COM_573859,,COM
555,INS_640417,Asia,0,COM_265379,,COM
556,INS_942466,Antarctica,0,COM_650748,,COM
557,INS_392598,Europe,0,COM_560406,,COM
558,INS_252600,North America,0,,STO_399975,STO
559,INS_298300,Asia,0,COM_256990,,COM
560,INS_262642,Africa,0,COM_897109,,COM
561,INS_402041,Australia,0,COM_736102,,COM
562,INS_401132,Europe,0,,STO_488286,STO
563,INS_667086,Australia,0,,STO_900589,STO
564,INS_312337,Asia,0,COM_542682,,COM
565,INS_669969,North America,0,COM_413738,,COM
566,INS_194091,Australia,0,,STO_706754,STO
567,INS_519020,Antarctica,0,COM_897109,,COM
568,INS_103375,Europe,0,,STO_631748,STO
569,INS_649580,Australia,0,COM_223785,,COM
570,INS_109435,Africa,0,COM_560969,,COM
571,INS_771647,Antarctica,0,COM_104481,,COM
572,INS_627230,Asia,0,,STO_838001,STO
573,INS_315728,Asia,0,,STO_814058,STO
574,INS_718464,Europe,0,,STO_732664,STO
575,INS_238405,South America,0,,STO_900589,STO
576,INS_634078,North America,0,,STO_399975,STO
577,INS_656225,Antarctica,1,,STO_838001,STO
578,INS_748289,North America,0,COM_662022,,COM
579,INS_688147,Antarctica,0,,STO_488286,STO
